time_period,time_identifier,geographic_level,country_code,country_name,version,characteristic_gender,subject,entries,91AstarG,94AstarC,97AstarA,9to5,grade9,grade8,grade7,grade6,grade5,grade4,grade3,grade2,grade1,grade99,grade98,grade88,grade87,grade77,grade76,grade66,grade65,grade55,grade54,grade44,grade43,grade33,grade32,grade22,grade21,grade11,gradeAstar,gradeA,gradeB,gradeC,gradeD,gradeE,gradeF,gradeG
201011,Academic year,National,E92000001,England,Final,Total,English Literature,449236,98.6,78.7,25.4,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,6.4,19,28.7,24.6,12.4,4.9,1.8,0.8
201011,Academic year,National,E92000001,England,Final,Boys,English Literature,212726,98.2,72.5,19.4,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,4.5,14.9,26.6,26.5,15.3,6.6,2.6,1.2
201011,Academic year,National,E92000001,England,Final,Girls,English Literature,236510,99,84.2,30.8,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,8.1,22.7,30.5,22.9,9.9,3.3,1.1,0.5
201011,Academic year,National,E92000001,England,Final,Total,English Studies,3302,98.5,66.3,3.1,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0.3,2.8,16.4,46.8,14.2,10.5,5,2.5
201011,Academic year,National,E92000001,England,Final,Boys,English Studies,1840,98.4,63,2.4,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0.2,2.2,14.6,45.9,15.1,11.4,5.8,3
201011,Academic year,National,E92000001,England,Final,Girls,English Studies,1462,98.8,70.5,3.9,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0.4,3.5,18.7,47.8,13,9.4,4,1.9
201011,Academic year,National,E92000001,England,Final,Total,French,141749,99.5,72,26.7,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,10.6,16.1,21.5,23.9,15.7,7.4,3.3,1.2
201011,Academic year,National,E92000001,England,Final,Boys,French,59640,99.4,66.5,22.5,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,8.7,13.8,19.5,24.6,17.6,9.1,4.5,1.6
201011,Academic year,National,E92000001,England,Final,Girls,French,82109,99.6,76,29.7,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,11.9,17.8,23,23.3,14.3,6.1,2.4,0.8
201011,Academic year,National,E92000001,England,Final,Total,General Studies,6522,93.7,42.7,9.6,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2,7.6,14,19.2,20.1,15.5,9.4,5.9
201011,Academic year,National,E92000001,England,Final,Boys,General Studies,3373,92.5,39.4,9.3,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1.8,7.5,12.4,17.6,19.4,15.7,11,6.9
201011,Academic year,National,E92000001,England,Final,Girls,General Studies,3149,95.1,46.3,9.8,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2.1,7.7,15.7,20.8,20.8,15.3,7.8,4.9
201011,Academic year,National,E92000001,England,Final,Total,Geography,161546,99,70.2,29,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,10.9,18.1,19.8,21.4,14.7,7.7,4.2,2.2
201011,Academic year,National,E92000001,England,Final,Boys,Geography,89338,98.8,66.3,24.4,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,8.4,15.9,19.2,22.7,16.5,8.7,4.8,2.6
201011,Academic year,National,E92000001,England,Final,Girls,Geography,72208,99.1,75.1,34.7,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,13.9,20.8,20.5,19.9,12.4,6.4,3.5,1.7
201011,Academic year,National,E92000001,England,Final,Total,German,58299,99.5,75.6,25.3,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,9.3,16.1,24.1,26.1,14.5,5.9,2.5,1.1
201011,Academic year,National,E92000001,England,Final,Boys,German,27383,99.3,70.4,21.4,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,7.8,13.6,22.2,26.8,16.8,7.5,3.2,1.4
201011,Academic year,National,E92000001,England,Final,Girls,German,30916,99.7,80.2,28.8,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,10.6,18.2,25.8,25.6,12.5,4.4,1.8,0.8
201011,Academic year,National,E92000001,England,Final,Total,Health and Social Care,5872,96.8,52.6,10.9,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,1.9,9,18.7,23,17.1,12.5,8.8,5.8
201011,Academic year,National,E92000001,England,Final,Boys,Health and Social Care,302,94.4,32.8,2.6,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,c,2,12.3,17.9,17.5,18.5,15.2,10.3
201011,Academic year,National,E92000001,England,Final,Girls,Health and Social Care,5570,97,53.6,11.3,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,c,9.4,19,23.3,17.1,12.2,8.5,5.6
201011,Academic year,National,E92000001,England,Final,Total,History,195207,98.2,70.6,31.2,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,11.7,19.5,21.2,18.2,12.3,7.6,4.8,2.8
201011,Academic year,National,E92000001,England,Final,Boys,History,98087,97.8,66.9,26.8,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,9.2,17.6,21,19.2,13.4,8.4,5.5,3.5
201011,Academic year,National,E92000001,England,Final,Girls,History,97120,98.6,74.4,35.7,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,14.3,21.4,21.4,17.3,11.2,6.8,4.1,2.2
201011,Academic year,National,E92000001,England,Final,Total,Home Economics,28444,98,55.9,13,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2.6,10.5,19.5,23.4,18.8,12.6,7.3,3.4
201011,Academic year,National,E92000001,England,Final,Boys,Home Economics,3898,97.8,43.4,5.5,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0.3,5.2,15,22.9,21.5,16.2,11.3,5.4
201011,Academic year,National,E92000001,England,Final,Girls,Home Economics,24546,98.1,57.9,14.2,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,2.9,11.3,20.2,23.5,18.4,12,6.7,3.1
201011,Academic year,National,E92000001,England,Final,Total,Hospitality and Catering,854,99.3,59.5,11.9,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,3.2,8.8,20,27.5,16.7,12.1,7.6,3.4
201011,Academic year,National,E92000001,England,Final,Boys,Hospitality and Catering,343,99.1,45.8,2.3,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,c,1.7,15.5,28,19,18.1,11.1,5.2
201011,Academic year,National,E92000001,England,Final,Girls,Hospitality and Catering,511,99.4,68.7,18.4,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,c,13.5,23.1,27.2,15.3,8,5.3,2.2
